coin_id,symbol,name,price_usd,market_cap,volume_24h,change_1h_pct,change_24h_pct,change_7d_pct,all_time_high,ath_distance_pct,momentum,volume_to_mktcap_ratio,recovery_stage,extracted_at
shiba-inu,shib,Shiba Inu,6.05e-06,3562180909,176242212.0,-1.4198745236092176,-1.0838318936545248,-2.9236299849342458,8.616e-05,-92.97842,🔻 Queda,0.0495,Fundo Profundo,2026-04-29T15:48:05.723116
sui,sui,Sui,0.893418,3531895425,296771355.0,-1.3614177742074332,-3.3660748061066164,-7.672154685577357,5.35,-83.28988,🔻 Queda,0.084,Fundo Profundo,2026-04-29T15:48:05.723116
paypal-usd,pyusd,PayPal USD,0.999796,3386732510,75901194.0,-0.01957152137549267,-0.004695470584762508,0.0014592967970315982,1.081,-7.49601,➡️ Lateral,0.0224,ATH Region,2026-04-29T15:48:05.723116
the-open-network,ton,Toncoin,1.3,3241223164,1159241284.0,-1.7622006617554933,0.8638583999797691,-4.826090545163304,8.25,-84.2231,➡️ Lateral,0.3577,Fundo Profundo,2026-04-29T15:48:05.723116
crypto-com-chain,cro,Cronos,0.067948,2958343851,10666802.0,-0.5220954365951362,-1.719465065474712,-3.660195291758577,0.891544,-92.41717,🔻 Queda,0.0036,Fundo Profundo,2026-04-29T15:48:05.723116
hashnote-usyc,usyc,Circle USYC,1.12,2920468249,224547.0,0.009649306617692026,0.018132079436497955,-0.03447304431500263,1.12,-0.05224,➡️ Lateral,0.0001,ATH Region,2026-04-29T15:48:05.723116
tether-gold,xaut,Tether Gold,4531.41,2536399225,174901571.0,-0.257175956713039,-1.332310088564605,-4.025463123341725,5504.62,-17.6999,🔻 Queda,0.069,Próximo do ATH,2026-04-29T15:48:05.723116
global-dollar,usdg,Global Dollar,0.999756,2425370163,50694398.0,0.0031766908633030825,-0.0005580601702821113,-1.725456695857448e-05,1.65,-39.5744,➡️ Lateral,0.0209,Metade,2026-04-29T15:48:05.723116
bittensor,tao,Bittensor,250.37,2403209630,206657410.0,-0.22044881534139263,-2.655907153181464,1.038723018079406,757.6,-66.99572,🔻 Queda,0.086,Recuperação,2026-04-29T15:48:05.723116
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2282121657,0.0,0.0,0.0,0.0,1.0,0.0,➡️ Lateral,0.0,ATH Region,2026-04-29T15:48:05.723116
pax-gold,paxg,PAX Gold,4526.35,2168329603,145487873.0,-0.3062733201749145,-1.420383021464,-4.022495098709392,5619.09,-19.42367,🔻 Queda,0.0671,Próximo do ATH,2026-04-29T15:48:05.723116
mantle,mnt,Mantle,0.621774,2053182143,37943348.0,-0.5279207782081856,-1.7237419503587097,-3.0817393470812835,2.86,-78.23937,🔻 Queda,0.0185,Fundo Profundo,2026-04-29T15:48:05.723116
world-liberty-financial,wlfi,World Liberty Financial,0.063842,2029656918,78972929.0,-1.0714025868627453,-13.328130053181871,-19.912322452469716,0.331336,-80.73208,📉 Queda Forte,0.0389,Fundo Profundo,2026-04-29T15:48:05.723116
polkadot,dot,Polkadot,1.19,2003719804,133403745.0,-1.742465062983364,-3.0293299730891987,-7.799540847043451,54.98,-97.83533,🔻 Queda,0.0666,Fundo Profundo,2026-04-29T15:48:05.723116
uniswap,uni,Uniswap,3.14,1985014928,157337406.0,-2.0574797618485947,-3.461678649890692,-7.775423689568241,44.92,-93.02752,🔻 Queda,0.0793,Fundo Profundo,2026-04-29T15:48:05.723116
pi-network,pi,Pi Network,0.189609,1957838121,39799044.0,-0.8992646229713248,1.0780532749850944,11.856045008231291,2.99,-93.69205,📈 Alta,0.0203,Fundo Profundo,2026-04-29T15:48:05.723116
sky,sky,Sky,0.081922,1900733489,13969552.0,-1.2394163627459704,-6.555810125836212,-2.8068056934357117,0.100535,-18.52422,📉 Queda Forte,0.0073,Próximo do ATH,2026-04-29T15:48:05.723116
falcon-finance,usdf,Falcon USD,0.997131,1784752346,737806.0,0.007705125848523842,-0.023609251566190263,-0.13184493872787673,1.075,-7.27018,➡️ Lateral,0.0004,ATH Region,2026-04-29T15:48:05.723116
okb,okb,OKB,81.42,1709810370,18297949.0,-0.6997115194337828,-1.538685802251035,-4.388341616033172,228.74,-64.46586,🔻 Queda,0.0107,Recuperação,2026-04-29T15:48:05.723116
near,near,NEAR Protocol,1.31,1696021282,120967006.0,-0.6914873345699281,-2.4762396944840948,-7.5188221890411535,20.44,-93.59509,🔻 Queda,0.0713,Fundo Profundo,2026-04-29T15:48:05.723116
aster-2,aster,Aster,0.651363,1678385924,179685559.0,-0.7198988433747653,0.7115161445493962,-4.913075581443701,2.41,-72.95831,➡️ Lateral,0.1071,Recuperação,2026-04-29T15:48:05.723116
